Scenario - test												
Logfile written - 11/09/2022 15:26:11												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
18	59	Sound	f14	8819104	71500	1			71500		other	0
18	59	Picture	3-124-1-3	8877922	130318	7	5166	7	130000	5000	hit	495
18	59	Response	62	8890023	142418	1						
18	60	Sound	P2/both	8923419	25000	1			25000		other	0
18	60	Response	53	8925143	26723	2						
18	60	Response	53	8929703	31283	2						
18	60	Response	53	8935063	36643	1						
18	60	Response	53	8940983	42563	1						
18	60	Response	53	8946743	48323	1						
18	60	Response	53	8953223	54803	1						
18	60	Response	53	8959303	60884	2						
18	60	Response	53	8964823	66403	1						
18	60	Sound	n07	8969919	71500	1			71500		other	0
18	60	Picture	2-214-1-2	9028737	130318	7	5166	7	130000	5000	hit	507
18	60	Response	61	9044982	146563	1						
												
												
Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	
												
Sound	P0/none1	other				25112	1			25000		
Sound	f01	other				71822	1			71500		
Picture	2-111-1-2	hit	1	8106	7	130645	7	5166	7	130000	5000	
Sound	P0/none	other				176128	1			25000		
Sound	test01	other				222641	1			71500		
Picture	2-211-1-2	incorrect	2	15451	8	281460	7	5166	7	130000	5000	
Sound	P0/none	other				326950	1			25000		
Sound	test22	other				373456	1			71500		
Picture	3-211-1-3	hit	1	13436	8	432275	7	5166	7	130000	5000	
Sound	P0/none	other				477767	1			25000		
Sound	f07	other				524271	1			71500		
Picture	2-121-1-2	hit	2	13981	7	583089	7	5166	7	130000	5000	
Sound	P2/beat1	other				628583	1			25000		
Sound	f03	other				675086	1			71500		
Picture	2-123-1-2	hit	2	16206	7	733904	7	5166	7	130000	5000	
Sound	P2/beat	other				779399	1			25000		
Sound	n12	other				825901	1			71500		
Picture	3-123-1-3	incorrect	1	12671	7	884719	7	5166	7	130000	5000	
Sound	P2/beat	other				930214	1			25000		
Sound	test10	other				976716	1			71500		
Picture	2-213-1-2	incorrect	2	12496	7	1035534	7	5166	7	130000	5000	
Sound	P2/beat	other				1081030	1			25000		
Sound	f17	other				1127531	1			71500		
Picture	3-113-1-3	hit	1	9920	8	1186349	7	5166	7	130000	5000	
Sound	P0/none1	other				1231845	1			25000		
Sound	f09	other				1278347	1			71500		
Picture	2-111-1-2	incorrect	2	18145	7	1337164	7	5166	7	130000	5000	
Sound	P0/none	other				1382660	1			25000		
Sound	test02	other				1429161	1			71500		
Picture	2-221-1-2	incorrect	1	18050	7	1487979	7	5166	7	130000	5000	
Sound	P0/none	other				1533475	1			25000		
Sound	f20	other				1579977	1			71500		
Picture	3-121-1-3	miss				1638794	7	5166	7	130000	5000	
Sound	P0/none	other				1684290	1			25000		
Sound	test21	other				1730791	1			71500		
Picture	3-221-1-3	incorrect	1	12420	8	1789609	7	5166	7	130000	5000	
Sound	P1/tapping1	other				1835105	1			25000		
Sound	test04	other				1881607	1			71500		
Picture	2-212-1-2	incorrect	2	16164	8	1940424	7	5166	7	130000	5000	
Sound	P1/tapping	other				1985921	1			25000		
Sound	test23	other				2032422	1			71500		
Picture	3-222-1-3	hit	2	13590	7	2091239	7	5166	7	130000	5000	
Sound	P1/tapping	other				2136736	1			25000		
Sound	test06	other				2183237	1			71500		
Picture	2-222-1-2	hit	2	19174	8	2242054	7	5166	7	130000	5000	
Sound	P1/tapping	other				2287551	1			25000		
Sound	test07	other				2334051	1			71500		
Picture	2-212-1-2	hit	1	15239	7	2392869	7	5166	7	130000	5000	
Sound	P2/both1	other				2438366	1			25000		
Sound	n01	other				2484867	1			71500		
Picture	3-214-1-3	incorrect	2	15384	9	2543685	7	5166	7	130000	5000	
Sound	P2/both	other				2589181	1			25000		
Sound	f22	other				2635682	1			71500		
